,id,gender,age,mask,class,path
0,1,0,0,0,3,/opt/ml/input/data/train/images/003013_female_Asian_19/mask1.jpg
1,2,0,0,1,9,/opt/ml/input/data/train/images/003013_female_Asian_19/incorrect_mask.jpg
2,3,0,0,0,3,/opt/ml/input/data/train/images/003013_female_Asian_19/mask3.jpg
3,4,0,0,0,3,/opt/ml/input/data/train/images/003013_female_Asian_19/mask5.jpg
4,5,0,0,0,3,/opt/ml/input/data/train/images/003013_female_Asian_19/mask2.jpg
5,6,0,0,2,15,/opt/ml/input/data/train/images/003013_female_Asian_19/normal.jpg
6,7,0,0,0,3,/opt/ml/input/data/train/images/003013_female_Asian_19/mask4.jpg
7,8,0,0,0,3,/opt/ml/input/data/train/images/003234_female_Asian_20/mask1.jpg
8,9,0,0,1,9,/opt/ml/input/data/train/images/003234_female_Asian_20/incorrect_mask.jpg
9,10,0,0,0,3,/opt/ml/input/data/train/images/003234_female_Asian_20/mask3.jpg
10,11,0,0,0,3,/opt/ml/input/data/train/images/003234_female_Asian_20/mask5.jpg
11,12,0,0,0,3,/opt/ml/input/data/train/images/003234_female_Asian_20/mask2.jpg
12,13,0,0,2,15,/opt/ml/input/data/train/images/003234_female_Asian_20/normal.jpg
13,14,0,0,0,3,/opt/ml/input/data/train/images/003234_female_Asian_20/mask4.jpg
14,15,1,0,0,0,/opt/ml/input/data/train/images/004204_male_Asian_19/mask1.jpg
15,16,1,0,1,6,/opt/ml/input/data/train/images/004204_male_Asian_19/incorrect_mask.jpg
16,17,1,0,0,0,/opt/ml/input/data/train/images/004204_male_Asian_19/mask3.jpg
17,18,1,0,0,0,/opt/ml/input/data/train/images/004204_male_Asian_19/mask5.jpg
18,19,1,0,0,0,/opt/ml/input/data/train/images/004204_male_Asian_19/mask2.jpg
19,20,1,0,2,12,/opt/ml/input/data/train/images/004204_male_Asian_19/normal.jpg
20,21,1,0,0,0,/opt/ml/input/data/train/images/004204_male_Asian_19/mask4.jpg
21,22,0,0,0,3,/opt/ml/input/data/train/images/003303_female_Asian_20/mask1.jpg
22,23,0,0,1,9,/opt/ml/input/data/train/images/003303_female_Asian_20/incorrect_mask.jpg
23,24,0,0,0,3,/opt/ml/input/data/train/images/003303_female_Asian_20/mask3.jpg
24,25,0,0,0,3,/opt/ml/input/data/train/images/003303_female_Asian_20/mask5.jpg
25,26,0,0,0,3,/opt/ml/input/data/train/images/003303_female_Asian_20/mask2.jpg
26,27,0,0,2,15,/opt/ml/input/data/train/images/003303_female_Asian_20/normal.jpg
27,28,0,0,0,3,/opt/ml/input/data/train/images/003303_female_Asian_20/mask4.jpg
28,29,1,0,0,0,/opt/ml/input/data/train/images/005531_male_Asian_21/mask1.jpg
29,30,1,0,1,6,/opt/ml/input/data/train/images/005531_male_Asian_21/incorrect_mask.jpg
30,31,1,0,0,0,/opt/ml/input/data/train/images/005531_male_Asian_21/mask3.jpg
31,32,1,0,0,0,/opt/ml/input/data/train/images/005531_male_Asian_21/mask5.jpg
32,33,1,0,0,0,/opt/ml/input/data/train/images/005531_male_Asian_21/mask2.jpg
33,34,1,0,2,12,/opt/ml/input/data/train/images/005531_male_Asian_21/normal.jpg
34,35,1,0,0,0,/opt/ml/input/data/train/images/005531_male_Asian_21/mask4.jpg
35,36,0,0,0,3,/opt/ml/input/data/train/images/003051_female_Asian_20/mask1.jpg
36,37,0,0,1,9,/opt/ml/input/data/train/images/003051_female_Asian_20/incorrect_mask.jpg
37,38,0,0,0,3,/opt/ml/input/data/train/images/003051_female_Asian_20/mask3.jpg
38,39,0,0,0,3,/opt/ml/input/data/train/images/003051_female_Asian_20/mask5.jpg
39,40,0,0,0,3,/opt/ml/input/data/train/images/003051_female_Asian_20/mask2.jpg
40,41,0,0,2,15,/opt/ml/input/data/train/images/003051_female_Asian_20/normal.jpg
41,42,0,0,0,3,/opt/ml/input/data/train/images/003051_female_Asian_20/mask4.jpg
42,43,0,1,0,4,/opt/ml/input/data/train/images/000069_female_Asian_54/mask1.jpg
43,44,0,1,1,10,/opt/ml/input/data/train/images/000069_female_Asian_54/incorrect_mask.jpg
44,45,0,1,0,4,/opt/ml/input/data/train/images/000069_female_Asian_54/mask3.jpg
45,46,0,1,0,4,/opt/ml/input/data/train/images/000069_female_Asian_54/mask5.jpg
46,47,0,1,0,4,/opt/ml/input/data/train/images/000069_female_Asian_54/mask2.jpg
47,48,0,1,2,16,/opt/ml/input/data/train/images/000069_female_Asian_54/normal.jpg
48,49,0,1,0,4,/opt/ml/input/data/train/images/000069_female_Asian_54/mask4.jpg
49,50,0,1,0,4,/opt/ml/input/data/train/images/005513_female_Asian_48/mask1.jpg
50,51,0,1,1,10,/opt/ml/input/data/train/images/005513_female_Asian_48/incorrect_mask.jpg
51,52,0,1,0,4,/opt/ml/input/data/train/images/005513_female_Asian_48/mask3.jpg
52,53,0,1,0,4,/opt/ml/input/data/train/images/005513_female_Asian_48/mask5.jpg
53,54,0,1,0,4,/opt/ml/input/data/train/images/005513_female_Asian_48/mask2.jpg
54,55,0,1,2,16,/opt/ml/input/data/train/images/005513_female_Asian_48/normal.jpg
55,56,0,1,0,4,/opt/ml/input/data/train/images/005513_female_Asian_48/mask4.jpg
56,57,0,0,0,3,/opt/ml/input/data/train/images/003079_female_Asian_19/mask1.jpg
57,58,0,0,1,9,/opt/ml/input/data/train/images/003079_female_Asian_19/incorrect_mask.jpg
58,59,0,0,0,3,/opt/ml/input/data/train/images/003079_female_Asian_19/mask3.jpg
59,60,0,0,0,3,/opt/ml/input/data/train/images/003079_female_Asian_19/mask5.jpg
60,61,0,0,0,3,/opt/ml/input/data/train/images/003079_female_Asian_19/mask2.jpg
61,62,0,0,2,15,/opt/ml/input/data/train/images/003079_female_Asian_19/normal.jpg
62,63,0,0,0,3,/opt/ml/input/data/train/images/003079_female_Asian_19/mask4.jpg
63,64,0,0,0,3,/opt/ml/input/data/train/images/001123_female_Asian_25/mask1.jpg
64,65,0,0,1,9,/opt/ml/input/data/train/images/001123_female_Asian_25/incorrect_mask.jpg
65,66,0,0,0,3,/opt/ml/input/data/train/images/001123_female_Asian_25/mask3.jpg
66,67,0,0,0,3,/opt/ml/input/data/train/images/001123_female_Asian_25/mask5.jpg
67,68,0,0,0,3,/opt/ml/input/data/train/images/001123_female_Asian_25/mask2.jpg
68,69,0,0,2,15,/opt/ml/input/data/train/images/001123_female_Asian_25/normal.jpg
69,70,0,0,0,3,/opt/ml/input/data/train/images/001123_female_Asian_25/mask4.jpg
70,71,0,1,0,4,/opt/ml/input/data/train/images/004329_female_Asian_56/mask1.jpg
71,72,0,1,1,10,/opt/ml/input/data/train/images/004329_female_Asian_56/incorrect_mask.jpg
72,73,0,1,0,4,/opt/ml/input/data/train/images/004329_female_Asian_56/mask3.jpg
73,74,0,1,0,4,/opt/ml/input/data/train/images/004329_female_Asian_56/mask5.jpg
74,75,0,1,0,4,/opt/ml/input/data/train/images/004329_female_Asian_56/mask2.jpg
75,76,0,1,2,16,/opt/ml/input/data/train/images/004329_female_Asian_56/normal.jpg
76,77,0,1,0,4,/opt/ml/input/data/train/images/004329_female_Asian_56/mask4.jpg
77,78,1,1,0,1,/opt/ml/input/data/train/images/000650_male_Asian_54/mask1.jpg
78,79,1,1,1,7,/opt/ml/input/data/train/images/000650_male_Asian_54/incorrect_mask.jpg
79,80,1,1,0,1,/opt/ml/input/data/train/images/000650_male_Asian_54/mask3.jpg
80,81,1,1,0,1,/opt/ml/input/data/train/images/000650_male_Asian_54/mask5.jpg
81,82,1,1,0,1,/opt/ml/input/data/train/images/000650_male_Asian_54/mask2.jpg
82,83,1,1,2,13,/opt/ml/input/data/train/images/000650_male_Asian_54/normal.jpg
83,84,1,1,0,1,/opt/ml/input/data/train/images/000650_male_Asian_54/mask4.jpg
84,85,0,0,0,3,/opt/ml/input/data/train/images/001720_female_Asian_18/mask1.jpg
85,86,0,0,1,9,/opt/ml/input/data/train/images/001720_female_Asian_18/incorrect_mask.jpg
86,87,0,0,0,3,/opt/ml/input/data/train/images/001720_female_Asian_18/mask3.jpg
87,88,0,0,0,3,/opt/ml/input/data/train/images/001720_female_Asian_18/mask5.jpg
88,89,0,0,0,3,/opt/ml/input/data/train/images/001720_female_Asian_18/mask2.jpg
89,90,0,0,2,15,/opt/ml/input/data/train/images/001720_female_Asian_18/normal.jpg
90,91,0,0,0,3,/opt/ml/input/data/train/images/001720_female_Asian_18/mask4.jpg
91,92,0,1,0,4,/opt/ml/input/data/train/images/000570_female_Asian_54/mask1.jpg
92,93,0,1,1,10,/opt/ml/input/data/train/images/000570_female_Asian_54/incorrect_mask.jpg
93,94,0,1,0,4,/opt/ml/input/data/train/images/000570_female_Asian_54/mask3.jpg
94,95,0,1,0,4,/opt/ml/input/data/train/images/000570_female_Asian_54/mask5.jpg
95,96,0,1,0,4,/opt/ml/input/data/train/images/000570_female_Asian_54/mask2.jpg
96,97,0,1,2,16,/opt/ml/input/data/train/images/000570_female_Asian_54/normal.jpg
97,98,0,1,0,4,/opt/ml/input/data/train/images/000570_female_Asian_54/mask4.jpg
98,99,0,0,0,3,/opt/ml/input/data/train/images/006478_female_Asian_18/mask1.jpg
99,100,0,0,1,9,/opt/ml/input/data/train/images/006478_female_Asian_18/incorrect_mask.jpg
100,101,0,0,0,3,/opt/ml/input/data/train/images/006478_female_Asian_18/mask3.jpg
101,102,0,0,0,3,/opt/ml/input/data/train/images/006478_female_Asian_18/mask5.jpg
102,103,0,0,0,3,/opt/ml/input/data/train/images/006478_female_Asian_18/mask2.jpg
103,104,0,0,2,15,/opt/ml/input/data/train/images/006478_female_Asian_18/normal.jpg
104,105,0,0,0,3,/opt/ml/input/data/train/images/006478_female_Asian_18/mask4.jpg
105,106,0,0,0,3,/opt/ml/input/data/train/images/005021_female_Asian_18/mask1.jpg
106,107,0,0,1,9,/opt/ml/input/data/train/images/005021_female_Asian_18/incorrect_mask.jpg
107,108,0,0,0,3,/opt/ml/input/data/train/images/005021_female_Asian_18/mask3.jpg
108,109,0,0,0,3,/opt/ml/input/data/train/images/005021_female_Asian_18/mask5.jpg
109,110,0,0,0,3,/opt/ml/input/data/train/images/005021_female_Asian_18/mask2.jpg
110,111,0,0,2,15,/opt/ml/input/data/train/images/005021_female_Asian_18/normal.jpg
111,112,0,0,0,3,/opt/ml/input/data/train/images/005021_female_Asian_18/mask4.jpg
112,113,0,0,0,3,/opt/ml/input/data/train/images/006400_female_Asian_18/mask1.jpg
113,114,0,0,1,9,/opt/ml/input/data/train/images/006400_female_Asian_18/incorrect_mask.jpg
114,115,0,0,0,3,/opt/ml/input/data/train/images/006400_female_Asian_18/mask3.jpg
115,116,0,0,0,3,/opt/ml/input/data/train/images/006400_female_Asian_18/mask5.jpg
116,117,0,0,0,3,/opt/ml/input/data/train/images/006400_female_Asian_18/mask2.jpg
117,118,0,0,2,15,/opt/ml/input/data/train/images/006400_female_Asian_18/normal.jpg
118,119,0,0,0,3,/opt/ml/input/data/train/images/006400_female_Asian_18/mask4.jpg
119,120,1,0,0,0,/opt/ml/input/data/train/images/006511_male_Asian_19/mask1.jpg
120,121,1,0,1,6,/opt/ml/input/data/train/images/006511_male_Asian_19/incorrect_mask.jpg
121,122,1,0,0,0,/opt/ml/input/data/train/images/006511_male_Asian_19/mask3.jpg
122,123,1,0,0,0,/opt/ml/input/data/train/images/006511_male_Asian_19/mask5.jpg
123,124,1,0,0,0,/opt/ml/input/data/train/images/006511_male_Asian_19/mask2.jpg
124,125,1,0,2,12,/opt/ml/input/data/train/images/006511_male_Asian_19/normal.jpg
125,126,1,0,0,0,/opt/ml/input/data/train/images/006511_male_Asian_19/mask4.jpg
126,127,0,1,0,4,/opt/ml/input/data/train/images/005447_female_Asian_52/mask1.jpg
127,128,0,1,1,10,/opt/ml/input/data/train/images/005447_female_Asian_52/incorrect_mask.jpg
128,129,0,1,0,4,/opt/ml/input/data/train/images/005447_female_Asian_52/mask3.jpg
129,130,0,1,0,4,/opt/ml/input/data/train/images/005447_female_Asian_52/mask5.jpg
130,131,0,1,0,4,/opt/ml/input/data/train/images/005447_female_Asian_52/mask2.jpg
131,132,0,1,2,16,/opt/ml/input/data/train/images/005447_female_Asian_52/normal.jpg
132,133,0,1,0,4,/opt/ml/input/data/train/images/005447_female_Asian_52/mask4.jpg
133,134,0,0,0,3,/opt/ml/input/data/train/images/005405_female_Asian_20/mask1.jpg
134,135,0,0,1,9,/opt/ml/input/data/train/images/005405_female_Asian_20/incorrect_mask.jpg
135,136,0,0,0,3,/opt/ml/input/data/train/images/005405_female_Asian_20/mask3.jpg
136,137,0,0,0,3,/opt/ml/input/data/train/images/005405_female_Asian_20/mask5.jpg
137,138,0,0,0,3,/opt/ml/input/data/train/images/005405_female_Asian_20/mask2.jpg
138,139,0,0,2,15,/opt/ml/input/data/train/images/005405_female_Asian_20/normal.jpg
139,140,0,0,0,3,/opt/ml/input/data/train/images/005405_female_Asian_20/mask4.jpg
140,141,1,0,0,0,/opt/ml/input/data/train/images/000309_male_Asian_29/mask1.jpg
141,142,1,0,1,6,/opt/ml/input/data/train/images/000309_male_Asian_29/incorrect_mask.jpg
142,143,1,0,0,0,/opt/ml/input/data/train/images/000309_male_Asian_29/mask3.jpg
143,144,1,0,0,0,/opt/ml/input/data/train/images/000309_male_Asian_29/mask5.jpg
144,145,1,0,0,0,/opt/ml/input/data/train/images/000309_male_Asian_29/mask2.jpg
145,146,1,0,2,12,/opt/ml/input/data/train/images/000309_male_Asian_29/normal.jpg
146,147,1,0,0,0,/opt/ml/input/data/train/images/000309_male_Asian_29/mask4.jpg
147,148,1,0,0,0,/opt/ml/input/data/train/images/001550_male_Asian_28/mask1.jpg
148,149,1,0,1,6,/opt/ml/input/data/train/images/001550_male_Asian_28/incorrect_mask.jpg
149,150,1,0,0,0,/opt/ml/input/data/train/images/001550_male_Asian_28/mask3.jpg
150,151,1,0,0,0,/opt/ml/input/data/train/images/001550_male_Asian_28/mask5.jpg
151,152,1,0,0,0,/opt/ml/input/data/train/images/001550_male_Asian_28/mask2.jpg
152,153,1,0,2,12,/opt/ml/input/data/train/images/001550_male_Asian_28/normal.jpg
153,154,1,0,0,0,/opt/ml/input/data/train/images/001550_male_Asian_28/mask4.jpg
154,155,1,0,2,12,/opt/ml/input/data/train/images/006644_male_Asian_19/normal.jpeg
155,156,1,0,0,0,/opt/ml/input/data/train/images/006644_male_Asian_19/mask3.jpeg
156,157,1,0,0,0,/opt/ml/input/data/train/images/006644_male_Asian_19/mask2.jpeg
157,158,1,0,0,0,/opt/ml/input/data/train/images/006644_male_Asian_19/mask4.jpeg
158,159,1,0,0,0,/opt/ml/input/data/train/images/006644_male_Asian_19/mask5.jpeg
159,160,1,0,1,6,/opt/ml/input/data/train/images/006644_male_Asian_19/incorrect_mask.jpeg
160,161,1,0,0,0,/opt/ml/input/data/train/images/006644_male_Asian_19/mask1.jpeg
161,162,0,1,0,4,/opt/ml/input/data/train/images/000765_female_Asian_57/mask1.jpg
162,163,0,1,1,10,/opt/ml/input/data/train/images/000765_female_Asian_57/incorrect_mask.jpg
163,164,0,1,0,4,/opt/ml/input/data/train/images/000765_female_Asian_57/mask3.jpg
164,165,0,1,0,4,/opt/ml/input/data/train/images/000765_female_Asian_57/mask5.jpg
165,166,0,1,0,4,/opt/ml/input/data/train/images/000765_female_Asian_57/mask2.jpg
166,167,0,1,2,16,/opt/ml/input/data/train/images/000765_female_Asian_57/normal.jpg
167,168,0,1,0,4,/opt/ml/input/data/train/images/000765_female_Asian_57/mask4.jpg
168,169,0,1,0,4,/opt/ml/input/data/train/images/005123_female_Asian_54/mask1.jpg
169,170,0,1,1,10,/opt/ml/input/data/train/images/005123_female_Asian_54/incorrect_mask.jpg
170,171,0,1,0,4,/opt/ml/input/data/train/images/005123_female_Asian_54/mask3.jpg
171,172,0,1,0,4,/opt/ml/input/data/train/images/005123_female_Asian_54/mask5.jpg
172,173,0,1,0,4,/opt/ml/input/data/train/images/005123_female_Asian_54/mask2.jpg
